,CELL_LINE,COMPOUND_A,COMPOUND_B,MAX_CONC_A,MAX_CONC_B,IC50_A,H_A,Einf_A,IC50_B,H_B,Einf_B,SUM_SYN_ANT_SAN,SUM_SYN_ANT_LOEWE,SUM_SYN_ANT_BLISS,SUM_SYN_ANT_HSA,QA,BatchID,COMBINATION_ID
3948,DLD1,MRK-003,DINACICLIB,10.0,0.04,10.0,1.469551605,55.34735326,0.01609137,3.277694023,25.62289332,0,3.533391459,8.279073245,13.18149789,1,1,DINACICLIB.MRK-003
8631,LOVO,MK-4541,DEXAMETHASONE,4.0,10.0,0.087538772,1.06259322,90.8569488,0.0035,0.1,79.91763939,0,14.47775664,-2.702848849,14.47775664,1,1,DEXAMETHASONE.MK-4541
8573,LOVO,L778123,MK-2206,5.0,4.0,0.313159157,10.0,51.24754861,0.114550605,0.720572943,26.15998367,0,26.3698053,-13.36809403,28.00234482,1,1,L778123.MK-2206
15193,PA1,MK-8669,OXALIPLATIN,0.01,20.0,0.000536966,10.0,85.69719959,1.656636334,1.486071004,5.425252084,0,-10.46857884,-18.64510016,-10.46857884,1,1,MK-8669.OXALIPLATIN
9723,MSTO,ETOPOSIDE,GELDANAMYCIN,4.0,2.0,0.350938493,1.09698789,11.12695546,0.462731818,1.519972672,24.33513623,0,-23.18094319,-36.43155341,-7.606771274,1,1,ETOPOSIDE.GELDANAMYCIN
19018,SW837,BEZ-235,DINACICLIB,0.4,0.04,0.156333936,1.00241161,0.0,0.012604755,10.0,18.18335288,0,-2.521871931,15.61868136,28.20115474,1,1,BEZ-235.DINACICLIB
449,A2058,MITOMYCINE,GELDANAMYCIN,1.0,2.0,0.039000254,2.179214563,21.38036706,0.10388905,10.0,17.06794584,0,7.430287378,-6.968743445,20.9347133,1,1,GELDANAMYCIN.MITOMYCINE
8506,LOVO,DOXORUBICIN,SUNITINIB,0.3,5.0,0.042439567,0.836061599,0.0,0.978246419,2.080422976,21.10065642,0,-2.450249884,-13.11395086,5.081543766,1,1,DOXORUBICIN.SUNITINIB
360,A2058,MRK-003,DOXORUBICIN,10.0,0.3,10.0,10.0,86.40081666,0.012271697,2.359708904,8.986739449,0,5.060774428,4.56581787,5.060774428,1,1,DOXORUBICIN.MRK-003
17833,SKOV3,BEZ-235,OXALIPLATIN,0.4,20.0,0.022483151,3.158772298,22.61043892,7.791433874,10.0,67.29584838,0,-1.38137147,-1.814942728,5.294951166,1,1,BEZ-235.OXALIPLATIN
12549,NCIH520,AZD1775,DINACICLIB,0.5,0.04,0.236267293,10.0,72.57694502,0.011449519,2.421230545,4.499595082,0,1.740202475,6.082295371,9.565679216,1,1,AZD1775.DINACICLIB
